time	x	rho	rhou
0	-1	1	0
0	0	1	0
0	1	1	0
0	2	1	0
0	3	1	0
0	4	1	0
0	5	1	0
0	6	1	0
0	7	1	0
0	8	1	0
0	9	1	0
0	10	1	0
0	11	1	0
0	12	1	0
0	13	1	0
0	14	1	0
0	15	1	0
0	16	1	0
0	17	1.00001	0
0	18	1.00001	0
0	19	1.00002	0
0	20	1.00004	0
0	21	1.00007	0
0	22	1.00012	0
0	23	1.0002	0
0	24	1.00035	0
0	25	1.00058	0
0	26	1.00095	0
0	27	1.00151	0
0	28	1.00237	0
0	29	1.00365	0
0	30	1.00549	0
0	31	1.00812	0
0	32	1.01175	0
0	33	1.01667	0
0	34	1.02319	0
0	35	1.03162	0
0	36	1.04226	0
0	37	1.05536	0
0	38	1.07108	0
0	39	1.08946	0
0	40	1.11036	0
0	41	1.13346	0
0	42	1.15819	0
0	43	1.18379	0
0	44	1.2093	0
0	45	1.23364	0
0	46	1.25564	0
0	47	1.27418	0
0	48	1.28824	0
0	49	1.29701	0
0	50	1.3	0
0	51	1.29701	0
0	52	1.28824	0
0	53	1.27418	0
0	54	1.25564	0
0	55	1.23364	0
0	56	1.2093	0
0	57	1.18379	0
0	58	1.15819	0
0	59	1.13346	0
0	60	1.11036	0
0	61	1.08946	0
0	62	1.07108	0
0	63	1.05536	0
0	64	1.04226	0
0	65	1.03162	0
0	66	1.02319	0
0	67	1.01667	0
0	68	1.01175	0
0	69	1.00812	0
0	70	1.00549	0
0	71	1.00365	0
0	72	1.00237	0
0	73	1.00151	0
0	74	1.00095	0
0	75	1.00058	0
0	76	1.00035	0
0	77	1.0002	0
0	78	1.00012	0
0	79	1.00007	0
0	80	1.00004	0
0	81	1.00002	0
0	82	1.00001	0
0	83	1.00001	0
0	84	1	0
0	85	1	0
0	86	1	0
0	87	1	0
0	88	1	0
0	89	1	0
0	90	1	0
0	91	1	0
0	92	1	0
0	93	1	0
0	94	1	0
0	95	1	0
0	96	1	0
0	97	1	0
0	98	1	0
0	99	1	0
0	100	1	0
0	101	1	0
0	102	1	0
0.395285	-1	1	2.00901e-12
0.395285	0	1	0
0.395285	1	1	-2.00901e-12
0.395285	2	1	-5.15994e-12
0.395285	3	1	-1.29862e-11
0.395285	4	1	-3.20249e-11
0.395285	5	1	-7.7384e-11
0.395285	6	1	-1.83216e-10
0.395285	7	1	-4.25025e-10
0.395285	8	1	-9.66042e-10
0.395285	9	1	-2.15127e-09
0.395285	10	1	-4.69355e-09
0.395285	11	1	-1.00323e-08
0.395285	12	1	-2.10078e-08
0.395285	13	1	-4.30949e-08
0.395285	14	1	-8.66003e-08
0.395285	15	1	-1.70469e-07
0.395285	16	1	-3.28686e-07
0.395285	17	1.00001	-6.2074e-07
0.395285	18	1.00001	-1.14817e-06
0.395285	19	1.00002	-2.07992e-06
0.395285	20	1.00004	-3.68979e-06
0.395285	21	1.00007	-6.40976e-06
0.395285	22	1.00012	-1.09027e-05
0.395285	23	1.0002	-1.81569e-05
0.395285	24	1.00035	-2.96019e-05
0.395285	25	1.00058	-4.72416e-05
0.395285	26	1.00095	-7.37911e-05
0.395285	27	1.00151	-0.000112797
0.395285	28	1.00237	-0.00016871
0.395285	29	1.00365	-0.000246861
0.395285	30	1.00549	-0.000353306
0.395285	31	1.00812	-0.00049446
0.395285	32	1.01175	-0.000676515
0.395285	33	1.01667	-0.00090459
0.395285	34	1.02319	-0.00118166
0.395285	35	1.03162	-0.00150731
0.395285	36	1.04226	-0.0018765
0.395285	37	1.05536	-0.00227848
0.395285	38	1.07108	-0.0026961
0.395285	39	1.08946	-0.00310579
0.395285	40	1.11036	-0.00347837
0.395285	41	1.13346	-0.00378081
0.395285	42	1.15819	-0.00397898
0.395285	43	1.18379	-0.00404101
0.395285	44	1.2093	-0.00394117
0.395285	45	1.23364	-0.00366352
0.395285	46	1.25564	-0.0032049
0.395285	47	1.27418	-0.00257676
0.395285	48	1.28824	-0.00180531
0.395285	49	1.29701	-0.00092996
0.395285	50	1.3	0
0.395285	51	1.29701	0.00092996
0.395285	52	1.28824	0.00180531
0.395285	53	1.27418	0.00257676
0.395285	54	1.25564	0.0032049
0.395285	55	1.23364	0.00366352
0.395285	56	1.2093	0.00394117
0.395285	57	1.18379	0.00404101
0.395285	58	1.15819	0.00397898
0.395285	59	1.13346	0.00378081
0.395285	60	1.11036	0.00347837
0.395285	61	1.08946	0.00310579
0.395285	62	1.07108	0.0026961
0.395285	63	1.05536	0.00227848
0.395285	64	1.04226	0.0018765
0.395285	65	1.03162	0.00150731
0.395285	66	1.02319	0.00118166
0.395285	67	1.01667	0.00090459
0.395285	68	1.01175	0.000676515
0.395285	69	1.00812	0.00049446
0.395285	70	1.00549	0.000353306
0.395285	71	1.00365	0.000246861
0.395285	72	1.00237	0.00016871
0.395285	73	1.00151	0.000112797
0.395285	74	1.00095	7.37911e-05
0.395285	75	1.00058	4.72416e-05
0.395285	76	1.00035	2.96019e-05
0.395285	77	1.0002	1.81569e-05
0.395285	78	1.00012	1.09027e-05
0.395285	79	1.00007	6.40976e-06
0.395285	80	1.00004	3.68979e-06
0.395285	81	1.00002	2.07992e-06
0.395285	82	1.00001	1.14817e-06
0.395285	83	1.00001	6.2074e-07
0.395285	84	1	3.28686e-07
0.395285	85	1	1.70469e-07
0.395285	86	1	8.66003e-08
0.395285	87	1	4.30949e-08
0.395285	88	1	2.10078e-08
0.395285	89	1	1.00323e-08
